lot_id,species_common,scientific_name,lot_mass_kg,product_form,handling_scenario,prehistory_equivalent_ice_h,baseline_shelf_life_h,target_market_node_id,traceability_status,origin_node_id,min_temp_c,mean_temp_c,max_temp_c,time_above_4c_h,time_above_10c_h,time_above_15c_h,equivalent_ice_age_h,remaining_quality_window_h,logger_missing_intervals,eye_demerit_0_3,gill_demerit_0_3,odor_demerit_0_3,texture_demerit_0_3,mucus_demerit_0_3,belly_burst_flag,total_proxy_0_16,condition_status,risk_score_0_100,recommended_action,candidate_destination_node_id,rationale,human_override_required
PGB-LMR-0001,lemuru,Sardinella lemuru,317.0,whole_fresh,controlled_ice,0.0,168.0,N004,COMPLETE,N001,1.09,1.42,10.0,1.0,0.0,0.0,62.45,105.55,0,1.0,1.0,1.0,1.0,1.0,0,5.0,NORMAL,32.2,HOLD_CHILLED,N004,RSL 105.6 h; sensory 5/16; gaps 0,YES
PGB-LMR-0013,lemuru,Sardinella lemuru,1961.0,whole_fresh,warm_auction_delay,0.0,168.0,N004,COMPLETE,N001,1.29,6.07,31.18,10.25,9.0,8.5,108.55,59.45,0,2.0,2.0,3.0,2.0,2.0,0,11.0,POOR,66.1,MANUAL_INSPECTION,N004,RSL 59.4 h; sensory 11/16; gaps 0,YES
PGB-LMR-0014,lemuru,Sardinella lemuru,278.0,whole_fresh,reice_recovery,0.0,168.0,N005,COMPLETE,N001,0.89,2.96,23.86,7.0,4.25,3.25,83.45,84.55,0,1.0,2.0,2.0,1.0,1.0,0,7.0,CHECK,47.6,RE_ICE_AND_ROUTE,N005,RSL 84.5 h; sensory 7/16; gaps 0,YES
PGB-LMR-0015,lemuru,Sardinella lemuru,415.0,whole_fresh,logger_gap,0.0,168.0,N006,COMPLETE,N001,1.49,1.86,12.0,1.5,0.0,0.0,63.36,104.64,12,1.0,1.0,2.0,1.0,1.0,0,6.0,CHECK,39.4,MANUAL_INSPECTION,N006,RSL 104.6 h; sensory 6/16; gaps 12,YES
PGB-LMR-0016,lemuru,Sardinella lemuru,552.0,whole_fresh,freezer_transfer,0.0,168.0,N007,COMPLETE,N001,1.49,1.74,7.0,0.75,0.0,0.0,65.95,102.05,0,1.0,1.0,1.0,1.0,1.0,0,5.0,NORMAL,34.3,HOLD_CHILLED,N007,RSL 102.1 h; sensory 5/16; gaps 0,YES
PGB-LMR-0017,lemuru,Sardinella lemuru,689.0,frozen,controlled_ice,0.0,168.0,N018,COMPLETE,N001,-18.1,-14.71,10.0,1.0,0.0,0.0,35.19,132.81,0,1.0,1.0,1.0,1.0,1.0,0,5.0,NORMAL,23.3,PROCESS_EXPORT_CANDIDATE,N018,RSL 132.8 h; sensory 5/16; gaps 0,YES
PGB-LMR-0018,lemuru,Sardinella lemuru,826.0,frozen,delayed_chilling_2h,0.0,168.0,N019,PARTIAL,N001,-18.1,-14.63,13.0,1.25,0.25,0.0,36.06,131.94,0,1.0,1.0,1.0,1.0,1.0,0,5.0,NORMAL,26.2,PROCESS_EXPORT_CANDIDATE,N019,RSL 131.9 h; sensory 5/16; gaps 0,YES
PGB-LMR-0019,lemuru,Sardinella lemuru,963.0,processed,melted_ice,0.0,168.0,N020,COMPLETE,N001,-18.1,-14.76,8.0,0.75,0.0,0.0,34.62,133.38,0,1.0,1.0,1.0,1.0,1.0,0,5.0,NORMAL,26.8,PROCESS_EXPORT_CANDIDATE,N020,RSL 133.4 h; sensory 5/16; gaps 0,YES
PGB-LMR-0020,lemuru,Sardinella lemuru,1100.0,whole_fresh,loading_excursion,0.0,168.0,N005,COMPLETE,N001,1.09,2.14,16.31,5.0,1.75,0.5,73.15,94.85,0,1.0,2.0,2.0,1.0,1.0,0,7.0,CHECK,42.3,RE_ICE_AND_ROUTE,N005,RSL 94.8 h; sensory 7/16; gaps 0,YES
PGB-LMR-0021,lemuru,Sardinella lemuru,1237.0,whole_fresh,warm_auction_delay,0.0,168.0,N006,COMPLETE,N001,1.29,5.58,28.41,10.0,8.75,8.25,108.11,59.89,0,2.0,2.0,3.0,2.0,2.0,0,11.0,POOR,66.0,MANUAL_INSPECTION,N006,RSL 59.9 h; sensory 11/16; gaps 0,YES
PGB-LMR-0022,lemuru,Sardinella lemuru,1374.0,whole_fresh,reice_recovery,0.0,168.0,N007,COMPLETE,N001,0.89,2.91,23.34,7.0,4.0,3.0,83.06,84.94,0,1.0,2.0,2.0,1.0,1.0,0,7.0,CHECK,47.5,RE_ICE_AND_ROUTE,N007,RSL 84.9 h; sensory 7/16; gaps 0,YES
PGB-LMR-0023,lemuru,Sardinella lemuru,1511.0,whole_fresh,logger_gap,0.0,168.0,N008,COMPLETE,N001,1.49,1.86,12.0,1.5,0.0,0.0,63.24,104.76,12,1.0,1.0,2.0,1.0,1.0,0,6.0,CHECK,39.3,MANUAL_INSPECTION,N008,RSL 104.8 h; sensory 6/16; gaps 12,YES
PGB-LMR-0024,lemuru,Sardinella lemuru,1648.0,whole_fresh,freezer_transfer,0.0,168.0,N002,PARTIAL,N001,1.49,1.73,7.0,0.75,0.0,0.0,65.86,102.14,0,1.0,1.0,1.0,1.0,1.0,0,5.0,NORMAL,34.3,HOLD_CHILLED,N002,RSL 102.1 h; sensory 5/16; gaps 0,YES
PGB-LMR-0025,lemuru,Sardinella lemuru,1785.0,whole_fresh,controlled_ice,0.0,168.0,N004,COMPLETE,N001,1.09,1.42,10.0,1.0,0.0,0.0,62.37,105.63,0,1.0,1.0,1.0,1.0,1.0,0,5.0,NORMAL,32.2,HOLD_CHILLED,N004,RSL 105.6 h; sensory 5/16; gaps 0,YES
PGB-LMR-0026,lemuru,Sardinella lemuru,1922.0,whole_fresh,delayed_chilling_2h,0.0,168.0,N005,COMPLETE,N001,1.09,2.28,21.69,3.75,2.5,1.75,74.66,93.34,0,1.0,2.0,2.0,1.0,1.0,0,7.0,CHECK,43.3,RE_ICE_AND_ROUTE,N005,RSL 93.3 h; sensory 7/16; gaps 0,YES
PGB-LMR-0027,lemuru,Sardinella lemuru,239.0,frozen,melted_ice,0.0,168.0,N018,COMPLETE,N001,-18.1,-14.76,8.0,0.75,0.0,0.0,34.6,133.4,0,1.0,1.0,1.0,1.0,1.0,0,5.0,NORMAL,26.8,PROCESS_EXPORT_CANDIDATE,N018,RSL 133.4 h; sensory 5/16; gaps 0,YES
PGB-LMR-0028,lemuru,Sardinella lemuru,376.0,frozen,loading_excursion,0.0,168.0,N019,COMPLETE,N001,-18.1,-14.68,11.0,1.25,0.0,0.0,35.44,132.56,0,1.0,1.0,1.0,1.0,1.0,0,5.0,NORMAL,25.5,PROCESS_EXPORT_CANDIDATE,N019,RSL 132.6 h; sensory 5/16; gaps 0,YES
PGB-LMR-0029,lemuru,Sardinella lemuru,513.0,processed,warm_auction_delay,0.0,168.0,N020,COMPLETE,N001,-18.1,-14.6,14.0,1.5,0.25,0.0,36.35,131.65,0,1.0,1.0,1.0,1.0,1.0,0,5.0,NORMAL,29.3,PROCESS_EXPORT_CANDIDATE,N020,RSL 131.6 h; sensory 5/16; gaps 0,YES
PGB-LMR-0030,lemuru,Sardinella lemuru,650.0,whole_fresh,reice_recovery,0.0,168.0,N002,PARTIAL,N001,0.89,2.87,22.74,6.75,4.0,2.75,82.84,85.16,0,1.0,2.0,2.0,1.0,1.0,0,7.0,CHECK,47.4,RE_ICE_AND_ROUTE,N002,RSL 85.2 h; sensory 7/16; gaps 0,YES
PGB-LMR-0031,lemuru,Sardinella lemuru,787.0,whole_fresh,logger_gap,0.0,168.0,N004,COMPLETE,N001,1.49,1.86,12.0,1.5,0.0,0.0,63.35,104.65,12,1.0,1.0,2.0,1.0,1.0,0,6.0,CHECK,39.4,MANUAL_INSPECTION,N004,RSL 104.6 h; sensory 6/16; gaps 12,YES
PGB-LMR-0032,lemuru,Sardinella lemuru,924.0,whole_fresh,freezer_transfer,0.0,168.0,N005,COMPLETE,N001,1.49,1.74,7.0,0.75,0.0,0.0,65.94,102.06,0,1.0,1.0,1.0,1.0,1.0,0,5.0,NORMAL,34.3,HOLD_CHILLED,N005,RSL 102.1 h; sensory 5/16; gaps 0,YES
PGB-LMR-0033,lemuru,Sardinella lemuru,1061.0,whole_fresh,controlled_ice,0.0,168.0,N006,COMPLETE,N001,1.09,1.42,10.0,1.25,0.0,0.0,62.46,105.54,0,1.0,1.0,1.0,1.0,1.0,0,5.0,NORMAL,32.2,HOLD_CHILLED,N006,RSL 105.5 h; sensory 5/16; gaps 0,YES
PGB-LMR-0034,lemuru,Sardinella lemuru,1198.0,whole_fresh,delayed_chilling_2h,0.0,168.0,N007,COMPLETE,N001,1.09,2.31,22.02,3.75,2.5,1.75,74.85,93.15,0,1.0,2.0,2.0,1.0,1.0,0,7.0,CHECK,43.3,RE_ICE_AND_ROUTE,N007,RSL 93.1 h; sensory 7/16; gaps 0,YES
PGB-LMR-0035,lemuru,Sardinella lemuru,1335.0,whole_fresh,melted_ice,0.0,168.0,N011,COMPLETE,N001,1.09,6.12,11.1,29.0,14.5,0.0,131.78,36.22,0,2.0,3.0,3.0,2.0,2.0,0,12.0,POOR,73.9,DOMESTIC_CHILLED,N011,RSL 36.2 h; sensory 12/16; gaps 0,YES
PGB-LMR-0036,lemuru,Sardinella lemuru,1472.0,whole_fresh,loading_excursion,0.0,168.0,N002,PARTIAL,N001,1.09,2.24,18.38,5.0,1.75,0.75,74.58,93.42,0,1.0,2.0,2.0,1.0,1.0,0,7.0,CHECK,42.7,RE_ICE_AND_ROUTE,N002,RSL 93.4 h; sensory 7/16; gaps 0,YES
PGB-LMR-0037,lemuru,Sardinella lemuru,1609.0,frozen,warm_auction_delay,0.0,168.0,N018,COMPLETE,N001,-18.1,-14.6,14.0,1.5,0.25,0.0,36.34,131.66,0,1.0,1.0,1.0,1.0,1.0,0,5.0,NORMAL,29.3,PROCESS_EXPORT_CANDIDATE,N018,RSL 131.7 h; sensory 5/16; gaps 0,YES
PGB-LMR-0038,lemuru,Sardinella lemuru,1746.0,frozen,reice_recovery,0.0,168.0,N019,COMPLETE,N001,-18.1,-14.74,9.0,1.0,0.0,0.0,34.86,133.14,0,1.0,1.0,1.0,1.0,1.0,0,5.0,NORMAL,27.4,PROCESS_EXPORT_CANDIDATE,N019,RSL 133.1 h; sensory 5/16; gaps 0,YES
PGB-LMR-0039,lemuru,Sardinella lemuru,1883.0,processed,logger_gap,0.0,168.0,N020,COMPLETE,N001,-18.1,-14.66,12.0,1.25,0.0,0.0,33.79,134.21,12,1.0,1.0,1.0,1.0,1.0,0,5.0,NORMAL,27.5,PROCESS_EXPORT_CANDIDATE,N020,RSL 134.2 h; sensory 5/16; gaps 12,YES
PGB-LMR-0040,lemuru,Sardinella lemuru,200.0,whole_fresh,freezer_transfer,0.0,168.0,N007,COMPLETE,N001,1.49,1.73,7.0,0.75,0.0,0.0,65.87,102.13,0,1.0,1.0,1.0,1.0,1.0,0,5.0,NORMAL,34.3,HOLD_CHILLED,N007,RSL 102.1 h; sensory 5/16; gaps 0,YES
PGB-LMR-0041,lemuru,Sardinella lemuru,337.0,whole_fresh,controlled_ice,12.0,168.0,N008,COMPLETE,N001,1.09,1.42,10.0,1.0,0.0,0.0,74.37,93.63,0,1.0,2.0,2.0,1.0,1.0,0,7.0,CHECK,40.5,RE_ICE_AND_ROUTE,N008,RSL 93.6 h; sensory 7/16; gaps 0,YES
PGB-LMR-0042,lemuru,Sardinella lemuru,474.0,whole_fresh,delayed_chilling_2h,12.0,168.0,N002,PARTIAL,N001,1.09,2.22,20.07,3.75,2.5,1.75,86.21,81.79,0,2.0,2.0,2.0,2.0,1.0,0,9.0,CHECK,51.4,RE_ICE_AND_ROUTE,N002,RSL 81.8 h; sensory 9/16; gaps 0,YES
PGB-LMR-0043,lemuru,Sardinella lemuru,611.0,whole_fresh,melted_ice,12.0,168.0,N004,COMPLETE,N001,1.1,6.11,11.1,29.25,14.25,0.0,143.68,24.32,0,3.0,3.0,3.0,3.0,2.0,0,14.0,POOR,82.2,LOCAL_FRESH_ONLY,N004,RSL 24.3 h; sensory 14/16; gaps 0,YES
PGB-LMR-0044,lemuru,Sardinella lemuru,748.0,whole_fresh,loading_excursion,12.0,168.0,N005,COMPLETE,N001,1.09,2.21,17.88,5.0,1.75,0.75,86.27,81.73,0,2.0,2.0,2.0,2.0,1.0,0,9.0,CHECK,50.9,RE_ICE_AND_ROUTE,N005,RSL 81.7 h; sensory 9/16; gaps 0,YES
PGB-LMR-0045,lemuru,Sardinella lemuru,885.0,whole_fresh,warm_auction_delay,12.0,168.0,N006,COMPLETE,N001,1.29,5.84,30.31,10.25,9.0,8.5,120.42,47.58,0,2.0,2.0,3.0,2.0,2.0,0,11.0,POOR,70.0,MANUAL_INSPECTION,N006,RSL 47.6 h; sensory 11/16; gaps 0,YES
PGB-LMR-0046,lemuru,Sardinella lemuru,1022.0,whole_fresh,reice_recovery,12.0,168.0,N007,COMPLETE,N001,0.89,2.8,22.01,6.75,4.0,2.5,94.33,73.67,0,2.0,2.0,2.0,2.0,2.0,0,10.0,CHECK,57.8,RE_ICE_AND_ROUTE,N007,RSL 73.7 h; sensory 10/16; gaps 0,YES
PGB-LMR-0047,lemuru,Sardinella lemuru,1159.0,frozen,logger_gap,12.0,168.0,N018,COMPLETE,N001,-18.1,-14.65,12.0,1.25,0.0,0.0,45.84,122.16,12,1.0,1.0,1.0,1.0,1.0,0,5.0,NORMAL,31.4,PROCESS_EXPORT_CANDIDATE,N018,RSL 122.2 h; sensory 5/16; gaps 12,YES
PGB-LMR-0048,lemuru,Sardinella lemuru,1296.0,frozen,freezer_transfer,12.0,168.0,N019,PARTIAL,N001,-18.1,-14.79,7.0,0.75,0.0,0.0,46.38,121.62,0,1.0,1.0,1.0,1.0,1.0,0,5.0,NORMAL,27.9,PROCESS_EXPORT_CANDIDATE,N019,RSL 121.6 h; sensory 5/16; gaps 0,YES
PGB-LMR-0049,lemuru,Sardinella lemuru,1433.0,processed,controlled_ice,12.0,168.0,N020,COMPLETE,N001,-18.1,-14.71,10.0,1.0,0.0,0.0,47.19,120.81,0,1.0,1.0,1.0,1.0,1.0,0,5.0,NORMAL,27.2,PROCESS_EXPORT_CANDIDATE,N020,RSL 120.8 h; sensory 5/16; gaps 0,YES
PGB-LMR-0050,lemuru,Sardinella lemuru,1570.0,whole_fresh,delayed_chilling_2h,12.0,168.0,N005,COMPLETE,N001,1.09,2.23,20.24,3.75,2.5,1.75,86.31,81.69,0,2.0,2.0,2.0,2.0,1.0,0,9.0,CHECK,51.4,RE_ICE_AND_ROUTE,N005,RSL 81.7 h; sensory 9/16; gaps 0,YES
PGB-LMR-0051,lemuru,Sardinella lemuru,1707.0,whole_fresh,melted_ice,12.0,168.0,N006,COMPLETE,N001,1.1,6.12,11.1,29.0,14.5,0.0,143.79,24.21,0,3.0,3.0,3.0,3.0,2.0,0,14.0,POOR,82.2,LOCAL_FRESH_ONLY,N006,RSL 24.2 h; sensory 14/16; gaps 0,YES
PGB-LMR-0052,lemuru,Sardinella lemuru,1844.0,whole_fresh,loading_excursion,12.0,168.0,N007,COMPLETE,N001,1.09,2.2,17.47,5.0,1.75,0.5,86.05,81.95,0,2.0,2.0,2.0,2.0,1.0,0,9.0,CHECK,50.9,RE_ICE_AND_ROUTE,N007,RSL 81.9 h; sensory 9/16; gaps 0,YES
PGB-LMR-0053,lemuru,Sardinella lemuru,1981.0,whole_fresh,warm_auction_delay,12.0,168.0,N008,COMPLETE,N001,1.29,5.93,30.78,10.25,9.0,8.5,120.52,47.48,0,2.0,2.0,3.0,2.0,2.0,0,11.0,POOR,70.0,MANUAL_INSPECTION,N008,RSL 47.5 h; sensory 11/16; gaps 0,YES
PGB-LMR-0054,lemuru,Sardinella lemuru,298.0,whole_fresh,reice_recovery,12.0,168.0,N002,PARTIAL,N001,0.89,2.78,21.78,6.75,4.0,2.5,94.13,73.87,0,2.0,2.0,2.0,2.0,2.0,0,10.0,CHECK,57.7,RE_ICE_AND_ROUTE,N002,RSL 73.9 h; sensory 10/16; gaps 0,YES
PGB-LMR-0055,lemuru,Sardinella lemuru,435.0,whole_fresh,logger_gap,12.0,168.0,N004,COMPLETE,N001,1.49,1.86,12.0,1.5,0.0,0.0,75.28,92.72,12,1.0,2.0,2.0,1.0,1.0,0,7.0,CHECK,45.5,MANUAL_INSPECTION,N004,RSL 92.7 h; sensory 7/16; gaps 12,YES
PGB-LMR-0056,lemuru,Sardinella lemuru,572.0,whole_fresh,freezer_transfer,12.0,168.0,N005,COMPLETE,N001,1.49,1.73,7.0,0.75,0.0,0.0,77.88,90.12,0,1.0,2.0,2.0,1.0,1.0,0,7.0,CHECK,42.6,RE_ICE_AND_ROUTE,N005,RSL 90.1 h; sensory 7/16; gaps 0,YES
PGB-LMR-0057,lemuru,Sardinella lemuru,709.0,frozen,controlled_ice,12.0,168.0,N018,COMPLETE,N001,-18.1,-14.71,10.0,1.0,0.0,0.0,47.12,120.88,0,1.0,1.0,1.0,1.0,1.0,0,5.0,NORMAL,27.2,PROCESS_EXPORT_CANDIDATE,N018,RSL 120.9 h; sensory 5/16; gaps 0,YES
PGB-LMR-0058,lemuru,Sardinella lemuru,846.0,frozen,delayed_chilling_2h,12.0,168.0,N019,COMPLETE,N001,-18.1,-14.63,13.0,1.25,0.25,0.0,48.0,120.0,0,1.0,1.0,1.0,1.0,1.0,0,5.0,NORMAL,30.2,PROCESS_EXPORT_CANDIDATE,N019,RSL 120 h; sensory 5/16; gaps 0,YES
PGB-LMR-0059,lemuru,Sardinella lemuru,983.0,processed,melted_ice,12.0,168.0,N020,COMPLETE,N001,-18.1,-14.76,8.0,0.75,0.0,0.0,46.58,121.42,0,1.0,1.0,1.0,1.0,1.0,0,5.0,NORMAL,30.7,PROCESS_EXPORT_CANDIDATE,N020,RSL 121.4 h; sensory 5/16; gaps 0,YES
PGB-LMR-0060,lemuru,Sardinella lemuru,1120.0,whole_fresh,loading_excursion,12.0,168.0,N002,PARTIAL,N001,1.09,2.17,17.02,4.75,1.75,0.5,85.65,82.35,0,2.0,2.0,2.0,2.0,1.0,0,9.0,CHECK,50.7,RE_ICE_AND_ROUTE,N002,RSL 82.3 h; sensory 9/16; gaps 0,YES
PGB-LMR-0061,lemuru,Sardinella lemuru,1257.0,whole_fresh,warm_auction_delay,12.0,168.0,N004,COMPLETE,N001,1.29,6.01,30.97,10.25,9.0,8.5,120.54,47.46,0,2.0,2.0,3.0,2.0,2.0,0,11.0,POOR,70.0,MANUAL_INSPECTION,N004,RSL 47.5 h; sensory 11/16; gaps 0,YES
PGB-LMR-0062,lemuru,Sardinella lemuru,1394.0,whole_fresh,reice_recovery,12.0,168.0,N005,COMPLETE,N001,0.89,2.76,21.87,6.75,4.0,2.5,94.02,73.98,0,2.0,2.0,2.0,2.0,2.0,0,10.0,CHECK,57.7,RE_ICE_AND_ROUTE,N005,RSL 74 h; sensory 10/16; gaps 0,YES
PGB-LMR-0063,lemuru,Sardinella lemuru,1531.0,whole_fresh,logger_gap,12.0,168.0,N006,COMPLETE,N001,1.49,1.86,12.0,1.5,0.0,0.0,75.31,92.69,12,1.0,2.0,2.0,1.0,1.0,0,7.0,CHECK,45.5,MANUAL_INSPECTION,N006,RSL 92.7 h; sensory 7/16; gaps 12,YES
PGB-LMR-0064,lemuru,Sardinella lemuru,1668.0,whole_fresh,freezer_transfer,12.0,168.0,N007,COMPLETE,N001,1.49,1.74,7.0,0.75,0.0,0.0,77.92,90.08,0,1.0,2.0,2.0,1.0,1.0,0,7.0,CHECK,42.6,RE_ICE_AND_ROUTE,N007,RSL 90.1 h; sensory 7/16; gaps 0,YES
PGB-LMR-0065,lemuru,Sardinella lemuru,1805.0,whole_fresh,controlled_ice,12.0,168.0,N008,COMPLETE,N001,1.09,1.42,10.0,1.25,0.0,0.0,74.44,93.56,0,1.0,2.0,2.0,1.0,1.0,0,7.0,CHECK,40.5,RE_ICE_AND_ROUTE,N008,RSL 93.6 h; sensory 7/16; gaps 0,YES
PGB-LMR-0066,lemuru,Sardinella lemuru,1942.0,whole_fresh,delayed_chilling_2h,12.0,168.0,N002,PARTIAL,N001,1.09,2.26,20.88,3.75,2.5,1.75,86.48,81.52,0,2.0,2.0,2.0,2.0,1.0,0,9.0,CHECK,51.5,RE_ICE_AND_ROUTE,N002,RSL 81.5 h; sensory 9/16; gaps 0,YES
PGB-LMR-0067,lemuru,Sardinella lemuru,259.0,frozen,melted_ice,12.0,168.0,N018,COMPLETE,N001,-18.1,-14.76,8.0,0.75,0.0,0.0,46.64,121.36,0,1.0,1.0,1.0,1.0,1.0,0,5.0,NORMAL,30.7,PROCESS_EXPORT_CANDIDATE,N018,RSL 121.4 h; sensory 5/16; gaps 0,YES
PGB-LMR-0068,lemuru,Sardinella lemuru,396.0,frozen,loading_excursion,12.0,168.0,N019,COMPLETE,N001,-18.1,-14.68,11.0,1.25,0.0,0.0,47.47,120.53,0,1.0,1.0,1.0,1.0,1.0,0,5.0,NORMAL,29.5,PROCESS_EXPORT_CANDIDATE,N019,RSL 120.5 h; sensory 5/16; gaps 0,YES
PGB-LMR-0069,lemuru,Sardinella lemuru,533.0,processed,warm_auction_delay,12.0,168.0,N020,COMPLETE,N001,-18.1,-14.6,14.0,1.5,0.25,0.0,48.37,119.63,0,1.0,1.0,1.0,1.0,1.0,0,5.0,NORMAL,33.3,PROCESS_EXPORT_CANDIDATE,N020,RSL 119.6 h; sensory 5/16; gaps 0,YES
PGB-LMR-0070,lemuru,Sardinella lemuru,670.0,whole_fresh,reice_recovery,12.0,168.0,N007,COMPLETE,N001,0.89,2.96,23.84,7.0,4.25,3.0,95.41,72.59,0,2.0,2.0,2.0,2.0,2.0,0,10.0,CHECK,58.1,RE_ICE_AND_ROUTE,N007,RSL 72.6 h; sensory 10/16; gaps 0,YES
PGB-LMR-0071,lemuru,Sardinella lemuru,807.0,whole_fresh,logger_gap,12.0,168.0,N008,COMPLETE,N001,1.49,1.86,12.0,1.5,0.0,0.0,75.3,92.7,12,1.0,2.0,2.0,1.0,1.0,0,7.0,CHECK,45.5,MANUAL_INSPECTION,N008,RSL 92.7 h; sensory 7/16; gaps 12,YES
PGB-LMR-0072,lemuru,Sardinella lemuru,944.0,whole_fresh,freezer_transfer,12.0,168.0,N002,PARTIAL,N001,1.49,1.73,7.0,0.75,0.0,0.0,77.89,90.11,0,1.0,2.0,2.0,1.0,1.0,0,7.0,CHECK,42.6,RE_ICE_AND_ROUTE,N002,RSL 90.1 h; sensory 7/16; gaps 0,YES
PGB-LMR-0073,lemuru,Sardinella lemuru,1081.0,whole_fresh,controlled_ice,12.0,168.0,N004,COMPLETE,N001,1.09,1.42,10.0,1.0,0.0,0.0,74.38,93.62,0,1.0,2.0,2.0,1.0,1.0,0,7.0,CHECK,40.5,RE_ICE_AND_ROUTE,N004,RSL 93.6 h; sensory 7/16; gaps 0,YES
